timestamp,distance,heart_rate
2019-06-23 12:11:40,0.0,123
2019-06-23 12:13:13,551273400,-889885093,232.79999999999995,232.79999999999995,745.42,9.999,9.999,125
2019-06-23 12:13:14,551274036,-889886297,232.60000000000002,232.60000000000002,755.19,9.768,9.768,125
2019-06-23 12:13:15,551274687,-889887453,232.79999999999995,232.79999999999995,764.8,9.612,9.612,125
2019-06-23 12:13:16,551275338,-889888615,232.60000000000002,232.60000000000002,774.45,9.651,9.651,126
2019-06-23 12:13:17,551275973,-889889751,232.60000000000002,232.60000000000002,783.87,9.425,9.425,126
2019-06-23 12:13:18,551276597,-889890906,232.39999999999998,232.39999999999998,793.33,9.454,9.454,126
2019-06-23 12:13:19,551277183,-889892062,232.60000000000002,232.60000000000002,802.58,9.246,9.246,126
2019-06-23 12:13:20,551277697,-889893225,232.39999999999998,232.39999999999998,811.48,8.905,8.905,126
2019-06-23 12:13:21,551278157,-889894429,232.60000000000002,232.60000000000002,820.36,8.88,8.88,127
2019-06-23 12:13:22,551278568,-889895616,232.60000000000002,232.60000000000002,828.93,8.571,8.571,127
2019-06-23 12:13:23,551278981,-889896802,232.60000000000002,232.60000000000002,837.51,8.573,8.573,127
2019-06-23 12:13:24,551279346,-889898039,233.0,233.0,846.19,8.683,8.683,128
2019-06-23 12:13:25,551279642,-889899236,233.0,233.0,854.4,8.208,8.208,128
2019-06-23 12:13:26,551279922,-889900439,233.20000000000005,233.20000000000005,862.59,8.193,8.193,129
2019-06-23 12:13:27,551280207,-889901695,232.79999999999995,232.79999999999995,871.13,8.539,8.539,130
2019-06-23 12:13:28,551280404,-889902920,233.0,233.0,879.25,8.122,8.122,130
2019-06-23 12:13:29,551280557,-889904119,232.79999999999995,232.79999999999995,887.13,7.877,7.877,131
2019-06-23 12:13:30,551280650,-889905224,233.20000000000005,233.20000000000005,894.32,7.19,7.19,131
2019-06-23 12:13:31,551280762,-889906567,234.0,234.0,903.06,8.739,8.739,132
2019-06-23 12:13:32,551280747,-889907761,234.0,234.0,910.78,7.717,7.717,133
2019-06-23 12:13:33,551280644,-889909031,234.0,234.0,919.04,8.256,8.256,133
2019-06-23 12:13:34,551280545,-889910156,233.79999999999995,233.79999999999995,926.36,7.326,7.326,134
2019-06-23 12:13:35,551280421,-889911168,233.79999999999995,233.79999999999995,933.01,6.642,6.642,135
